id,in_swahili,in_lingala,in_kikongo , in_kinyarwanda,in_french,alternative_words_references,regional_meaning,tags,context,common_phrases,action_scenario,sample_post,english_translation,social_media_#
11,,,,,Médiocre ,"""loser.""","during a speech by Catholic Cardinal Monsengwo in 2017,38 during which he called for. term caught on and became popular especially during subsequent election cycles and is used to refer to the members of the last government and the outgoing political class, implying that the Kabila regime has not achieved anything significant for the country. ","political,provocative",The term was used by political oppo- nents and activists who wanted to challenge the track record of the former president and his allies and supporters,"“Il est temps que les médiocres dégagent”, “mediocres degagez”,“ne votez pas pour les médiocres!” ",,"Médiocrité tribale et haine des autres = opposition congolaise. #RDC l'opposition ne dirigera pas ce pays
Qui se sent morveux qu'il se mouche. FT et VK ont fait ce qu'ils ont fait. Si vs valez mieux alors remplacez-les et soutenez MF.",,
12,,,,,Mission ,," “task that needs to be accomplished.” local populations in the eastern border regions of the DRC first used this term to refer to stray dogs that needed to be killed - yelling “mission-mission” when they saw one. In more recent history, the term was used to mark a person that was to be killed",," the context of the spillover of conflict from the Rwandan genocide and its aftermath, validation workshop participants explained that this term was used to designate somebody from the Tutsi community. predominantly used against individuals from the Tutsi community in the DRC, it can also be used to incite violence against others that are not Tutsi.",,,,,
13,Munyabungo/Banyabungo ,,,,,"Bunyabungo, Manyabungo, Bashi, Mushi "," a name originally linked to the former Bahi kingdom that historically was centered in the Kivu region.used with a negative subtext that includes a host of prejudices generally held against the Bashi people such as “somebody who is uncivilised” or somebody “who belongs to a group of liars and thieves,”",discriminative,used in places where the Bashi community is present but is not indigenous. ,,,"Oyo pe ... Kozala munyabungo mabe makasi tolinga yetiiiiii mais moto ezo simba, alingi bongo koleka boka naye... Ère pasi pona biso badeko",It’s really sad to be ‘munyabungo.’ We can like him but that does not work because he loves money more that his country.”,"#bunyabungo, #munyabungo, #bany- abunfo, #banyabungo"
14,Munyarwanda / Banyarwanda,,,,Rwandais ," Munyamulenge, Rwandophones, Tutsi, Hutu, Mulungulungu,Muhutu, Mutusi"," “to come from” or “to live in” Rwanda.implies that a person speaking Kinyarwanda or who is a member of the Hutu or Tutsi communities is always a foreigner and immigrant , an upstart, or an invader and aggressor","political,discriminative,provocative",terms are used to refer to Congolese communities — mostly Hutu and Tutsi who speak Kinyarwanda (an official language of Rwanda). it has a current negative association to describe “somebody without a heart capable of violence at any moment.negative sentiments some Congolese harbor towards the Rwandans in context of their shared recent history of conflict and civil war. ,"“la congolité”,“Toka kule we munyarwanda” ",,"Eg1: Quiconque aura à ouvrir sa bouche pour dire aux Banyarwanda qu'ils sont étrangers au Congo, que leur nationalité est douteuse, eh bien celui la aura signé son arrêt de mort ! Les Banyarwanda se déploient sur une étendue mesurable depuis des siècles avant que Léopold II et son monstre de Congo ne viennent a exister. Ils continueront à s'y déployer librement pendant des siècles et des siècles. Ces imbéciles qui racontent de nauséeuses histoires d'hospitalité offerte aux Rwandais au Congo, de piètre bonté supposée du « peuple congolais » qui n'existe pas encore, ils n'ont désormais qu'à se taire. S'ils ne se taisent pas à temps, tant pis, quelqu'un s'occupera de les faire taire. Point final.
Eg2: Selon lui, ces Banyarwanda s'adonnent déjà aux travaux champêtres. Ils parlent le kiswahili avec un accent rwandais très prononcé : « aussitôt arrivés, ils se sont construit des cases de fortune. Entre eux, ils parlent kinyarwanda. Ils vivent à vase clos. Et pour le moment, ils n'abordent pas encore nos filles ». Et de reconnaître que ces Rwandophones étaient une « catégorie de la population qu'il faut gérer avec prudence et précaution ». Le député provincial Kisembo a réitéré son souhait de les voir rentrer chez eux pours s'enrôler et revenir après s'ils le souhaitent.
Eg3: Bukavu, à l'ecodim, un pasteur faisant chanter les enfants: - Pasteur:yesu wapi !? - Enfants : juu juu sana - pasteur : setani wapi!? - enfants: chini chini chini Sana - pasteur: Nani Njoo aduyi wetu!? - enfants : Munyarwanda... Euh...","Eg1: Whoever will open his mouth to say to Banyarwanda that they are foreigners in Congo, that their nationality is doubted, he will have signed his death war- rant! The Banyarwanda spread over a measurable distance for centuries before Léopold II and his monster, the Congo, ever existed. They will continue to spread freely for centu- ries and centuries. These imbeciles who tell nauseating stories of hospitality offered to Rwandans by the Congolese, of the poor supposed goodness of the “Congolese people” that does not exist, they must now be quiet. If they are not quiet in time, someone will silence them. Final point. 
Eg2: According to him, these Banyarwanda are already engaged in their
field work. They speak Kiswahili with a pronounced Rwandan accent: “As soon as they arrived, they built makeshift huts. Between them, they speak Kinyarwanda. They live in isolation. And for the moment, they don’t yet speak to our daughters.” And recognize that these Rwandaphones were a “category of the population that must be managed with prudence and precaution.” The provincial deputy Kisembo reiterated his wish to see them go back to their home to enlist and come back after if they wished.
Eg3: Bukavu, in Ecodim, a pastor makes children sing: Pastor: Yesu wapi!? Children: Juu juu sana Pastor: Setani wapi!? Children: Chini chini chini sana Pastor: Nani njoo aduyi wetu!? Children: Munyarwanda... Ugh... "," #munyarwanda, #banyarwanda, #mulungulungu "
15,Muyomba ,Noko,Nwagsi,,oncle ,"Nkasi, Band-band, Mukimbizi, Wageni, Jirani ", the term is used to refer to a foreigner (a “non-local”) without his or her knowledge,discriminative,"“It is a password to let others know that a Tutsi, who is considered harmful and needs to be isolated, is present.”",,"against members of the Tutsi community,derogatory intention","Pendant que les congolais son
tués a l'est, fayulu avec son oncle muyaka mozitu dansent
avec les kulunas","While the Congolese are killed in the east, Fayulu with his uncle Muyaka Mozitu dance with the Kulunas","#noko, #Ngwasi, #muyomba "
16,Nyatura ,,,,,"Mai-mai Nyatura, Mayi Mayi Nyatura,Muhutu, brother, sister, guest, neighbor",literally means “to hit with force” in Kinyarwanda,"militia,criminal","used to target Congolese Hutu present in parts of Nord and South Kivu provinces, the speaker seeks to associate them with members of the armed group.","“Mayi Mayi Nyatura,”",,"Salut a tous mes con frère congolais particulièrement celle de la collectivité de Rugari, le Nyantura menace et massacre nos mères, nos pères, nos frères, nos soeurs, nos enfants, nos oncles, nos tantes, etc... et en au finale c'est nous qui deviennent des orphelins car nous savons tous que ce sont nos jeunes, nos frères qui font partis de ce mouvement rebelle dit NYANTURA, chers frères con-patriote, ne vous laissez pas influencer par la guerre car au finale ces vos familles qui sont massacre. mettons fin au massacre de Rugari faite par le NYANTURA, sachez que vous été connus laisser tomber est regagner la paix en baissant vos armes, je demande a tous ressortissant de RUGARI, qui savent que son frère fait partis de ce mouvement rebelle qu'il puissent lui sensibiliser car La RD Congo nous appartiens, particulièrement notre collectivité de RUGARI, partager cette publication, faite une large diffusion pour le bien de tous","Hello to all my Congolese brothers, particularly those of the Rugari community. The Nyatura threaten and massacre our mothers, our fathers, our sisters, our children, our uncles, our aunts, etc... and in the end it is we who become orphans because we know that it is our young people, our brothers, who are part of the rebel movement called Nyatura. Dear patriot brothers, don’t be swayed by the war because in the end it is your families who are massacred. Let us end the Nyatura’s massacre of the Rugari. Know that you have been known to drop and to regain the peace by lowering your weapons. I ask of all you Rugari nationals, who know that their brother is part of the rebel movement, that you educate him, because the DRC belongs to us, particularly our Rugari community. Share this publication, spread this widely for the good of all. "," #nyatura, #maimai "
17,Nyoka ,,,,,,"means “snake” in Swahili.used to signify that a person is dangerous to the community.when a person is called that, it’s a bad person.","discriminative,stigmatize"," In Rwanda, “Nyoka” is often used against somebody from the Tutsi community, implying that they are harmful like a snake and a threat to the community that should be killed."," “Mutusi anakuwaka na mayele na roho mubaya sawa nyoka,” ,“Nyoka ya Sumu”,Nyoka ya tumbu,“Nyoka ya tumbu”,Nyoka ya Sumu ",,"Mwendo ya nyoka , ni ku zambalala. KATUMBI EKO NIOKA; EKO NA ZAMBALALA Autrement dit "" Pour savoir comment se déplace un serpent, il faille le capturer et observer son ventre *. Katumbi est ce serpent qui va se faire attraper pour voir comment et pourquoi il marche. ","(...) to know how a serpent moves, you have to capture it and look at its belly. Katumi is this serpent and we will capture him to see how he moves (...) ", #nyoka 
18,Amstel,,,,,,"It is used by local people to describe people from the Banyamulenge community, referring to their physical appearance (“long and lanky like an Amstel bottle”). ",secondary, occurs in Bukavu,,,,,
19,Chameleon,,,,,," refers to members of Congolese opposition parties who, for fear of losing political power or of attack on their personal lives, were ambivalent in their positions about the controversial “glissement electoral”","political,secondary,stigmatize ",,,,,,
20,,,,,Envahisseurs,,"term for “Invaders”,",," Then-President Laurent Desire Kabila, who was assassinated in 2001, used the term “envahisseurs” to refer to his former Rwandan and Ugandan allies who were subsequently destabilizing the country’s security.", “Arrêtez les envahisseurs” ,,,,
21,,,,,Infiltré(e),,term meaning “spy” or “snitch.”,,"Just like the term “mission,” this term is used to single out and target Tutsi who are deemed sus- picious and to incite community members to do mob justice (killing) — even without any proof that the concerned individuals might be spying.",,to single out and target Tutsi,,,
22,Inkotanyi/Ingotanyi,,,Inkotana,,,"“to fight without delay, to never give up.” Inkotanyi is used by Congolese in eastern Congo to evoke a Rwandan-like military presence often associated with grave human rights violations.","political,secondary,stigmatize ",,,,,,
23,Kafiri,,,,,,,,,,,,,
24,Mbokatier,,,,,,,,,,,,,
25,Muturage/baturage,,,,,,,,,,,,,
26,Puwa mrefu,,,,,,,,,Puwa mrefu,,,,
27,Talibans,,,,,,,,,,,,,
28,Tiriri,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
